Title,Artist,Genre,Release,Rating
Lucky Thirteen [CD],Naughty Naughty,New Age,05/28/2013,
"Feather, Stone & Light [CD]",Nakai Eaton Clipman,New Age,02/28/1995,
Feathers & Flesh [CD],Avatar,Pop,05/13/2016,4.8
Strange Trails [CD],Lord Huron,Pop,04/07/15,4.7
Pure Heroine [LP] - VINYL,Lorde,Pop,11/19/2013,5
Leftoverture Live & Beyond [CD],Kansas,Pop,11/03/17,4.7
Night Ranger's Greatest Hits [CD],Night Ranger,Pop,05/26/1989,4.5
Lazaretto [CD],Jack White,Pop,06/10/14,4.4
Rubber Soul [2012 LP] [LP] - VINYL,The Beatles,Pop,11/13/2012,4.9
Now That's What I Call Music! 60 [Deluxe Edition] [CD],Various Artists,Pop,11/04/16,4.6
Stranger Things [Music From the Netflix Original Series] [LP] - VINYL,Various Artists,Soundtracks & Shows,12/15/2017,5
New Wave [CD],Powerman 5000,Pop,10/27/2017,4.4
Incorruptible [Deluxe Edition] [Clear Vinyl] [With CD] [CD],Iced Earth,Pop,06/16/2017,4.6
Nucleus [CD],Witchcraft,Pop,01/15/2016,5
Evil Empire [CD] [PA],Rage Against the Machine,Pop,04/16/1996,4.8
Greatest Hits [CD],Creed,Pop,06/22/2010,4.7
Coco [CD],Colbie Caillat,Pop,07/17/2007,4.5
Greatest Hits [CD],Tracy Chapman,Folk,11/20/2015,5
Now That's What I Call Tailgate Anthems [CD],Various Artists,Country,08/04/17,4.8
The Hamilton Mixtape [CD] [PA],Various Artists,Pop,12/02/16,4.6
The Resistance [Deluxe Edition] [CD],Crown the Empire,Pop,10/30/2015,4.7
Halcyon [Bonus Tracks] [CD],Ellie Goulding,Electronic/Dance,08/08/13,4.4
Elv1s: 30 #1 Hits [CD],Elvis Presley,Pop,09/24/2002,5
"Their Greatest Hits, Vols. 1 & 2 [LP] - VINYL",Eagles,Pop,07/21/2017,5
The  Blood of Gods [CD],GWAR,Pop,10/20/2017,4.5
Too High to Riot [CD] [PA],Bas,Pop,03/04/16,4.6
The Curse of Our Fathers [CD],Larkin,New Age,08/22/2006,
Hope Resides [CD],Greg Maroney,New Age,01/23/2013,
Pod [CD],Afro Celt Sound System,New Age,07/30/2013,
Ananda Nidra: Blissful Sleep (Two Sensual [CD],Patricia Johnson,New Age,08/09/11,
Stillness Dancing [CD],Jan Novotka,New Age,08/01/09,
"Goddess Awakening, Vol. 1 [CD]",Lucia Hwong,New Age,10/10/00,
Meditation: Releasing Fear & Resentment [CD],John Daniels,New Age,01/21/1997,
Ultimate Yanni [CD],Yanni,New Age,01/21/2003,
In Search of Angels [CD],Original TV Soundtrack,New Age,10/09/12,
Yoga: Mind Body Spirit [CD],Ken Davis,New Age,05/20/2009,
Galaxies [CD],Kevin Braheny,New Age,07/01/91,
Gypsy Flame [CD],Armik,New Age,04/18/1995,
Yin Yoga für Anfänger [CD],Chris,Easy Listening,09/18/2015,
The Spirit of Feng Shui [CD],David Sun,New Age,05/16/2000,
"Nine Decades, Vol. 2: Reminiscence of North Vista [CD]",Ravi Shankar,World,11/08/11,
Changes [CD],One Alternative,New Age,03/09/99,
Seven Gates: A Christmas Album [CD],Ben Keith,Gospel & Christian,10/25/1994,
Images [CD],Sojiro,New Age,06/21/2004,
Inner Language Trio [CD],Christoph Stiefel,New Age,03/04/08,
Feng Shui Today [CD],Various Artists,New Age,06/04/13,
Simply Antistress [CD],Various Artists,New Age,08/10/10,
Mountain in the Sky [CD],David Michael & Randy Mead,New Age,06/08/04,
China Garden [CD],Francis Perry,New Age,05/15/2012,
Rhythms of Sleep: Music For Deep Rest [CD],Christopher of the Wolves,New Age,02/24/2015,
Greatest Hits [CD],The Smashing Pumpkins,Pop,11/20/2001,4.7
Electric Church [DVD],,,11/06/15,4.9
10x10 [CD],Ronnie Montrose,Pop,09/29/2017,4.8
Man of the Woods [LP] - VINYL,Justin Timberlake,Pop,02/02/18,4.7
Supermodel [CD],Foster the People,Pop,05/05/17,4.5
Dead Cross [CD],Dead Cross,Pop,08/04/17,4.8
I Knew You When [Deluxe Edition] [CD],Bob Seger,Pop,11/17/2017,4.7
Blind Faith [CD],Blind Faith,Pop,02/27/2001,4.8
Grammy Nominees 2017 [CD],Various Artists,Pop,01/20/2017,4.4
Greatest Hits [CD],Alice in Chains,Pop,08/28/2001,4.6
Now That's What I Call Music! 60 [CD],Various Artists,Pop,11/04/16,4.3
Suicide Squad: The Album [CD],Original Soundtrack,Pop,08/05/16,4.8
Listen Without Prejudice 25 [Bonus Disc] [CD],George Michael,Pop,10/20/2017,5
Who's Greatest Hits [CD],The Who,Pop,11/23/2004,
"Willie Nelson and the Boys: Willie's Stash, Vol. 2 [CD]",Willie Nelson,Country,10/20/2017,4.6
Unified [CD],Sweet & Lynch,Pop,11/10/17,4.5
Fear of the Dark [Enhanced] [CD],Iron Maiden,Pop,03/26/2002,4.4
Wembley or Bust [CD],Electric Light Orchestra,Pop,11/17/2017,4.7
Ones [CD],Selena,Latin,10/01/02,5
More Best of Leonard Cohen [CD],Leonard Cohen,Folk,10/07/97,5
The Album Collection [CD] [PA],Amy Winehouse,R&B Soul,10/09/12,4.8
Deja Entendu [CD],Brand New,Pop,06/17/2003,5
Battles [CD],In Flames,Pop,11/11/16,4
ILLUMINATIONOFTHEHEART [CD],Deuter,New Age,09/11/15,
Hotel de l'Univers [CD],Raphaël,New Age,04/24/2001,
Andy Warhol: A Documentary [CD],Brian Keane,New Age,09/26/2006,
Keys To My Heart [CD],Alan Roubik,New Age,12/13/2004,
Programm 1 [LP] - VINYL,Din A Testbild,New Age,07/22/2016,
Day Review [CD],Chris Tyce,New Age,11/04/16,
Oz Fritz: All Around the World [CD],Oz Fritz,Avant-Garde,08/24/2004,
Demetrecivilization [CD],Demetre,New Age,07/25/2006,
In Her Hands [CD],John Mills,New Age,06/17/2016,
Solo Piano for Peace [CD],Louis Landon,New Age,01/01/09,
The  Art of Loving [CD],Eloah,New Age,02/10/12,
Rubia [CD],Armik,New Age,08/22/1996,
Pure Voices [Fast Forward] [CD],Various Artists,New Age,04/24/2012,
Second Language [CD],David Gordon,New Age,02/10/09,
Dark Fire [CD],Light Rain,New Age,09/07/12,
Light-Year [CD],David Pritchard,New Age,08/17/2010,
Yoga Is Love: Music For Yoga And Connection [CD],Tom Colletti,World,01/28/2014,
Soundings Global Rhythm Collection [CD],Dean Evenson,New Age,02/12/08,
"Sacred Journey of Ku-Kai, Vol. 2 [CD]",Kitaro,New Age,02/22/2005,
Pop! Goes the Piano: Someone Like You [CD],David Osborne,New Age,02/24/2017,
Brüder des Schattens - Söhne des Lichts [CD],Popol Vuh,Electronic/Dance,01/01/03,
The Very Best of Yanni [CD],Yanni,New Age,10/10/00,
Dance of the Iguana [CD],Dave Baker,New Age,08/03/04,
Eight-String Religion [CD],David Darling,Jazz,03/16/2010,
Dirty Heads [CD],Dirty Heads,Pop,07/15/2016,4.6
Greatest Hits  [LP] - VINYL,Queen,Pop,11/18/2016,5
Ember to Inferno [Deluxe Edition] [CD],Trivium,Pop,12/02/16,4.5
PTXmas [CD],Pentatonix,Holiday,06/03/14,4.7
Little Hell [CD],City and Colour,Pop,06/14/2011,
M A N I A [LP] - VINYL,Fall Out Boy,Pop,01/19/2018,
Mis-An-Thrope [CD] [PA],DED,Pop,07/21/2017,4.5
Masseduction [CD],St. Vincent,Pop,10/13/2017,4.5
In Between Dreams [CD],Jack Johnson,Pop,03/01/05,5
The 25th of December [CD],Dave Koz,Holiday,09/30/2014,4.5
20th Century Masters - The Millennium Collection: The Best of Cher [CD],Cher,Pop,01/25/2000,4.5
Vessel [CD],Twenty One Pilots,Pop,01/08/13,4.7
Crimes of Passion [CD],Pat Benatar,Pop,04/04/06,5
Virtual XI [CD],Iron Maiden,Pop,04/21/2015,
Rocky IV [Bonus Track] [CD],Various Artists,Soundtracks & Shows,02/28/2006,4.5
Core [25th Anniversary Deluxe Edition] [2 CD] [CD],Stone Temple Pilots,Pop,09/29/2017,5
Icon [CD],Simple Minds,Pop,05/14/2013,5
Songs in the Attic [CD],Billy Joel,Pop,02/01/08,
"Greatest Hits, Vol. 2 [CD]",Eagles,Pop,10/25/1990,4.7
boom. [CD],Walker Hayes,Country,12/08/17,5
Native [Bonus Tracks] [2014] [CD],OneRepublic,Pop,04/18/2014,4.7
Trolls Holiday [CD],Various Artists,Holiday,10/27/2017,4.5
The Jazz Singer [Original Motion Picture Soundtrack] [CD],Neil Diamond,Soundtracks & Shows,11/24/2014,3.7
Precious Memories Collection [CD],Alan Jackson,Country,04/28/2017,5
Venus & Mars [CD/DVD] [CD & DVD],Paul McCartney,Pop,11/04/14,5
Songs of Experience [Blue Vinyl] [2 LP] [LP] - VINYL,U2,Pop,12/01/17,5
The Best of 2005-2013 [LP] - VINYL,Avenged Sevenfold,Pop,02/10/17,4.7
Prism [CD],Katy Perry,Pop,10/22/2013,4.6
"All Your Fault, Pt. 2 [CD] [PA]",Bebe Rexha,Country,11/03/17,4.7
Diamonds [LP] - VINYL,Elton John,Pop,11/10/17,4.9
Hot Fuss [LP] - VINYL,The Killers,Pop,11/17/2017,5
From Birth to Burial [CD],10 Years,Pop,04/21/2015,4.5
The Best of Papa Roach: To Be Loved [CD] [PA],Papa Roach,Pop,06/29/2010,5
Badlands [CD],Halsey,Pop,08/28/2015,4.6
A  Black Mile to the Surface [CD],Manchester Orchestra,Pop,07/28/2017,5
Je Dis Oui! [CD],Pink Martini,Pop,11/18/2016,
Badlands [LP] - VINYL,Halsey,Pop,08/28/2015,4.8
Now! 27 [CD],Various Artists,Pop,09/23/2016,
Cover 2 Cover [CD],Randy George,Pop,05/22/2012,
Kidz Bop 33 [CD],Kidz Bop Kids,Children's,10/14/2016,4.9
Smash [LP] - VINYL,The Offspring,Pop,03/10/09,4.3
Hits! [CD],Boz Scaggs,R&B Soul,10/03/06,5
That's the Spirit [CD],Bring Me the Horizon,Pop,09/11/15,4.6
A Rush of Blood to the Head [CD],Coldplay,Pop,08/27/2002,4.7
MTV Unplugged in New York [LP] - VINYL,Nirvana,Pop,03/05/13,5
Selves We Cannot Forgive [CD],Black Crown Initiate,Pop,07/22/2016,4.3
Spirit [Deluxe Edition] [CD],Depeche Mode,Pop,03/17/2017,4.5
Let It Bleed [LP] - VINYL,The Rolling Stones,Pop,11/25/2003,4.5
Dust to Dust [CD],Steve Roach,New Age,04/07/98,
Ayurveda Massage [CD],Julie Anand,New Age,06/16/2015,
Celtic Meditation Music [CD],Áine Minogue,Folk,05/11/04,
Christmas in Black and White [CD],Nicole C. Mullen,Gospel & Christian,09/17/2002,
Collection [CD],Keiko Matsui,Jazz,10/21/1997,
Shiatsu [CD],Oliver Chung,New Age,11/04/16,
Licht [CD],Die Apokalyptischen Reiter,New Age,11/10/09,
Reflections of Love [CD],Tom Ameen,Easy Listening,03/04/10,
Healing Dreams [CD],Scott Huckabay,New Age,09/04/01,
L' Estinzione di un Colloquio Amoroso [CD],Massimo Zamboni,New Age,10/07/14,
The Self-Hypnosis Diet [CD],Steven Gurgevich,Comedy/Spoken,03/03/09,
Earthsongs [CD],Secret Garden,New Age,02/14/2012,
Histoires Naturelles [CD],Nolwenn Leroy,New Age,12/05/05,
The Fall of a Rebel Angel [CD],Enigma,Electronic/Dance,11/18/2016,
Bel Assis [CD],Mo Foster,New Age,12/21/2007,
Deep Relax [CD],Various Artists,New Age,04/08/14,
Snips: Live at Environ [CD],Steve Lacy,Jazz,08/08/00,
Viandra [CD],Lars Hollmer,Avant-Garde,05/13/2008,
Sarasvati's Dream [CD],Diane Mandle,New Age,11/06/07,
O Great Spirit [CD],Asher Quinn,New Age,12/10/11,
Bring on the Sun [CD],Laraaji,Avant-Garde,09/22/2017,
Entdecke das innere Lächeln: Geführte Qigong-Übungen [CD],Rettenmaier,New Age,12/01/13,
When the Sun Turns North [CD],Deborah Schmit-Lobis,New Age,08/03/10,
Berlin & Brussels [CD],Various Artists,New Age,01/01/10,
Sacred Nation [CD],Diane Arkenstone,New Age,07/21/2017,
Hula Girls [CD],Jake Shimabukuro,New Age,09/20/2006,
Yoga Fur Den Rucken: Fur Inne [CD],Canda,Electronic/Dance,04/04/14,
The Afro-Indian Project: Travels with the African Kora in India [CD],Ravi,World,08/25/2017,
Light Body Sound Healing [CD],Aleya Dao,New Age,08/25/2014,
Woodstock [LP] - VINYL,Portugal. The Man,Pop,08/11/17,4.5
The Strange Case Of...[Deluxe Edition] [CD] [PA],Halestorm,Pop,04/16/2013,4.9
Live at Pompeii [Video] [Blu-Ray Disc],David Gilmour,Pop,09/29/2017,4.5
A Retrospective [CD],Mike Bloomfield,Pop,03/03/17,
Oh My My [CD],OneRepublic,Pop,10/07/16,4.6
Ceremony and Devotion [LP] - VINYL,Ghost,Pop,01/19/2018,5
Scream: The Essentials [CD],SOiL,Pop,09/15/2017,4.9
Dangerous Woman [CD] [PA],Ariana Grande,Pop,05/20/2016,4.7
Pretty Hate Machine [LP] - VINYL,Nine Inch Nails,Pop,07/12/11,5
Metarie [US EP] [CD],Brendan Benson,Pop,09/26/2000,4.8
Rudolph the Red-Nosed Reindeer [CD],Burl Ives,Folk,06/01/95,4.7
Climate Change [CD] [PA],Pitbull,Pop,03/17/2017,4.5
The Rise & Fall of Ziggy Stardust & The Spider from Mars [Remastered] [CD],David Bowie,Pop,09/25/2015,5
Greatest Hits [LP] - VINYL,Bob Dylan,Pop,02/16/2018,
Greatest Hits [CD],The Guess Who,Pop,02/23/1999,5
Lower the Bar [Only @ Best Buy] [CD] [PA],Steel Panther,Pop,03/24/2017,4.5
Metal Meltdown [CD/DVD/Blu-Ray] [CD & DVD] [PA],Twisted Sister,Pop,07/22/2016,4.7
Lukas Graham [CD],Lukas Graham,Pop,04/01/16,4.8
Lindsey Stirling [CD],Lindsey Stirling,Classical,10/29/2013,4.8
Pollinator [CD],Blondie,Pop,05/05/17,4.6
Alive at Twenty-Five [Video] [CD & DVD],Jane's Addiction,Pop,08/04/17,4.2
Weightless [CD],Liz Longley,Country,08/26/2016,5
#1 to Infinity [Bonus Track] [CD],Mariah Carey,R&B Soul,05/18/2015,4.7
"Best of the Grateful Dead, Vol. 2: 1977-1989 [LP] - VINYL",Grateful Dead,Pop,10/31/2017,5
The  Ultimate Collection [Legacy] [CD],Roy Orbison,Pop,10/28/2016,5
Rebel Heart Tour  [CD & DVD],Madonna,Pop,09/15/2017,4.3
The Eternal Reign [CD],Born of Osiris,Pop,02/24/2017,4.7
Best of the Knack [CD],The Knack,Pop,08/17/1999,
J.Lo [CD],Jennifer Lopez,Pop,07/21/2001,4
Lost in Translation [CD],Original Soundtrack,Soundtracks & Shows,06/29/2004,
Anthology: Through the Years [CD],Tom Petty,Pop,10/31/2000,4.8
40 [2LP] [LP] - VINYL,Foreigner,Pop,06/02/17,5
A Bronx Tale [CD],Original Soundtrack,Soundtracks & Shows,09/28/1993,4.7
The Live Anthology [CD],Tom Petty,Pop,11/23/2009,4.8
Road Rage [CD],Quiet Riot,Pop,08/04/17,3.8
True Blue [Bonus Tracks] [CD],Madonna,Pop,05/22/2001,4.8
A Place Where There's No More Pain [CD],Life of Agony,Pop,04/28/2017,4.6
Blackstar [CD],David Bowie,Pop,01/08/16,4.6
Purpose [CD],Justin Bieber,Pop,11/13/2015,4.6
The Very Best of the Stylistics [CD],The Stylistics,R&B Soul,02/26/2013,4.8
Thank You [CD],Meghan Trainor,Pop,05/13/2016,4.5
Triple Feature [CD],*NSYNC,Pop,10/02/12,4.3
Disney Karaoke Series: Moana [CD],Various Artists,Pop,01/06/17,4.8
Viva la Vida or Death and All His Friends [CD],Coldplay,Pop,06/17/2008,4.5
"Greatest Hits, Vol. 1: The Singles [CD]",Goo Goo Dolls,Pop,11/13/2007,4.7
Magma [CD],Gojira,Pop,06/17/2016,4.7
Mis Planes Son Amarte [CD & DVD],Juanes,Latin,05/12/17,5
Adiós [CD],Glen Campbell,Country,06/09/17,4.7
Jackdaw [CD],Jochen Blum,New Age,11/24/2009,
Free Mind-Ambiente [CD],Mark Allaway,New Age,11/04/16,
Endless Beauty [CD],Rebecca McLaughlin,New Age,03/17/2011,
Glacier Soundscapes: Music For Glacier National Park [CD],Jill Haley,New Age,01/01/10,
Quantum Light Breath [CD],Quantum Light Breath,New Age,07/28/2005,
Live at Blues West 14 [CD],Mo Foster,New Age,12/21/2007,
Soul in Wonder [CD],Miten,New Age,10/23/2007,
Return to Kintail [Digital Download],Alasdair Fraser,World,05/11/99,
At the Temple Door [CD],Ajeet Kaur,New Age,06/10/14,
Meditative Rainforest [CD],Jeffrey D. Thompson,New Age,07/15/2008,
Seraphim [CD],Irfan,New Age,03/24/2011,
Antarctica [Original Motion Picture Soundtrack] [CD],Vangelis,Electronic/Dance,10/17/1988,
All is Forgiven [CD],Ashana,New Age,07/25/2006,
Eversound Chillout: The Inner Groove [CD],Various Artists,New Age,08/03/04,
"Sound Effects, Vol. 2 [Simithsonian Folkways] [CD]",Various Artists,New Age,05/30/2012,
Bells of Christmas [CD],Cast in Bronze,Classical,09/26/2012,
Serene [CD],Aeoliah,New Age,03/06/01,
Chances Are: The Definiitive Early Hits Collection [CD],Johnny Mathis,New Age,10/05/10,
Nature Sounds-Emotional Connection: Ilumination [CD],Various Artists,New Age,05/11/10,
Hunter of Dreams [CD],Aldo,New Age,01/27/2004,
Music by William Eaton [CD],William Eaton,New Age,10/16/2006,
Belly Bar [CD],Various Artists,Electronic/Dance,09/25/2007,
Ambient 3: Day of Radiance [LP] - VINYL,Laraaji,Electronic/Dance,11/13/2015,
Nature Notes Scents of the World: Indian Night Jasmine [CD],Various Artists,New Age,09/03/13,
Basic Stress Reduction [CD],Dr. Myra Weiss,New Age,08/08/06,
Yoga Nidra Meditation: Extreme Relaxation of Conscious Deep Sleep [CD],"Swami Jnaneshvara Bharati ""Swami J""",New Age,11/05/03,
Phase Shift [CD],Hollan Holmes,New Age,03/18/2013,
Prayer for Peace [CD],Various Artists,World,09/12/00,
The Rocky Mountains: Reflections of Beauty [CD],Paul Harrison,New Age,08/15/2006,
Vashti Was Right (The Book of Zeresh - A Purim Spiel) [CD],Debbie Orenstein,New Age,04/28/2006,
Effortless Relaxation: Relaxing Music with Subliminal Affirmations [CD],Steven Halpern,New Age,06/10/14,
The Dance of Innocents [CD],Nawang Khechog,New Age,04/20/2001,
Moonlight on Water [CD],Alexander,New Age,11/16/2004,
Love [CD],Paul Avgerinos,New Age,08/18/2009,
Fresh Aire Motivator [CD],Mannheim Steamroller,New Age,10/15/1998,
Celebration of Love [CD],Alan Roubik,New Age,08/21/2012,
Vishnu's Dream [CD],Swaha,New Age,04/03/07,
The Journey Continues [CD],Bradley Joseph,New Age,04/21/2009,
New Love [CD],Amy Camie,New Age,03/22/2005,
Big Medicine [CD],R. Carlos Nakai,New Age,09/15/1998,
Pokito a Poko [CD],Chambao,World,06/06/06,
This Dew Drop World [White Swan] [CD],Suvarna,World,09/02/03,
K-Scope [CD],Phil Manzanera,New Age,06/20/2008,
The Songs of Distant Earth [CD],Mike Oldfield,New Age,01/13/2008,
Healing Angels [CD],Steven Gurgevich,Comedy/Spoken,06/22/2003,
Poet's Heart [CD],Allen James Teague,New Age,09/30/2008,
Caverna Magica [LP] - VINYL,Andreas Vollenweider,New Age,07/29/2014,
Ke'alaokamaile [CD],Kealiʻi Reichel,World,07/10/15,
V [Deluxe Edition] [CD],Maroon 5,Pop,05/18/2015,4.7
Singles [Original Motion Picture Soundtrack] [Bonus Tracks] [CD],Various Artists,Soundtracks & Shows,05/19/2017,4.9
The Apothic Gloom [CD],Skeletonwitch,Pop,08/19/2016,3.4
Like a Virgin [Remastered] [CD],Madonna,Pop,05/22/2001,4.8
Stages Live [CD/BR] [CD & Blu-Ray],Josh Groban,Pop,02/05/16,4.9
Getaway [LP] - VINYL,Red Hot Chili Peppers,Pop,06/17/2016,4.4
Moving in Stereo: The Best of the Cars [CD],The Cars,Pop,05/06/16,4.9
Your Favorite Weapon [Deluxe Edition] [CD],Brand New,Pop,11/29/2011,5
The Definitive Rod Stewart [CD],Rod Stewart,Blues,11/18/2008,4.7
Bon Iver [LP] - VINYL,Bon Iver,Pop,06/21/2011,
Juniper Road [CD],Dishwalla,Pop,07/14/2017,5
Back from the Edge [CD],James Arthur,Pop,12/02/16,4.6
Skid Row [CD],Skid Row,Pop,10/25/1990,4.9
Transformer [LP] - VINYL,Lou Reed,Pop,11/17/2017,5
The Fame [LP] - VINYL,Lady Gaga,Pop,11/04/08,4.8
As Daylight Dies [CD],Killswitch Engage,Pop,11/21/2006,4.8
The Grinding Wheel [CD],Overkill,Pop,02/10/17,4.7
Essential Elvis Presley [RCA/Sony BMG] [Two-LP] [LP] - VINYL,Elvis Presley,Pop,03/04/16,4.8
Persistence of Time [CD],Anthrax,Pop,08/07/90,4.3
Sorceress [Deluxe Version] [CD],Opeth,Pop,09/30/2016,4.4
Wall of Sound [CD],Marty Friedman,Pop,08/04/17,5
Greatest Hits [CD],Exposé,Electronic/Dance,11/21/1995,
Never Mind the Bollocks Here's the Sex Pistols [180 Gram Vinyl] [LP] [PA],Sex Pistols,Pop,10/28/2008,5
Where the Light Is: John Mayer Live in Los Angeles [LP] - VINYL,John Mayer,Pop,03/06/12,4
The Early Years [CD],Carole King,Pop,09/22/2017,
"Sit Still, Look Pretty [CD]",Daya,Pop,10/07/16,4.5
Mariah Carey's All I Want for Christmas Is You [Original Motion Picture Soundtrack] [CD],Various Artists,Holiday,11/17/2017,4.7
Mount Ninji and Da Nice Time Kid [CD] [PA],Die Antwoord,Electronic/Dance,09/16/2016,4.7
"So Wrong, It's Right [CD]",All Time Low,Pop,09/25/2007,4.9
Sleeping Lions [CD],Otherwise,Pop,09/22/2017,4.5
Gravebloom [CD],The Acacia Strain,Pop,06/30/2017,5
Greatest Hits [LP] - VINYL,Neil Young,Pop,12/22/2009,5
Donovan's Greatest Hits [Expanded Edition] [CD],Donovan,Folk,03/30/1999,5
The  Essential 311 [CD],311,Pop,05/06/16,4.9
The Nylon Curtain [CD],Billy Joel,Pop,02/01/08,5
Opiate [EP] [LP] [PA],Tool,Pop,09/17/1996,4.8
The Offspring [CD],The Offspring,Pop,02/09/18,
From the Outside [CD] [PA],Hey Violet,Pop,06/16/2017,5
Who's Next [Bonus Tracks] [CD],The Who,Pop,01/31/2006,
Eat the Elephant [CD],A Perfect Circle,Pop,04/20/2018,
Blackstar [LP] - VINYL,David Bowie,Pop,01/08/16,4.8
In Concert [2017 Remastered] [CD],Rare Earth,R&B Soul,11/07/17,5
Waves [CD],Rachel Platten,Pop,10/27/2017,5
Give More Love [CD],Ringo Starr,Pop,09/15/2017,4.5
Desde un Principio: From the Beginning [Sony International] [CD],Marc Anthony,Latin,05/23/2006,4.6
Best of the Doobies [LP] - VINYL,The Doobie Brothers,R&B Soul,12/03/13,4.8
The Resistance [CD],Muse,Pop,09/15/2009,4.4
Their Greatest Hits 1971-1975 [LP] - VINYL,Eagles,Pop,02/08/11,4.9
Total Faith: Live At Royal Room At the Colony [CD],Faith Prince,New Age,04/16/2013,
Toddler Twosome [CD],Various Artists,Children's,01/27/2004,
Stream of Thought [CD],Erik Wøllo,New Age,01/13/2009,
Chakra Therapie [CD],Various Artists,New Age,07/19/2011,
Shimmer [CD],Thom Brennan,New Age,08/10/12,
Mai [CD],Eri Sugai,New Age,01/23/2001,
Union Cafe [CD],Penguin Cafe Orchestra,New Age,01/12/18,
The Magnificent Void [CD],Steve Roach,New Age,02/13/1996,
Enter Tribal [CD],R. Carlos Nakai,New Age,11/13/2001,
Piano Inspirations [CD],Stan Whitmire,Easy Listening,06/19/2012,
Soul Mates & Kindred Spirits [CD],The Candlelight Guitarist,New Age,02/06/07,
Tao of Healing [CD],Dean Evenson,New Age,03/28/2000,
Sweet Awakenings [CD],Terry Oldfield,New Age,08/04/14,
Songs Kids Love to Sing: Sunday School Songs [CD],All Star Children's Chorus,Children's,05/20/2003,
Ocean Within [CD],Nadama,New Age,03/18/2014,
Lullaby [CD],Mizuyo Komiya,New Age,01/13/2008,
Chill Out Asia [CD],Axion,Electronic/Dance,08/13/2003,
Optimal Health at the Speed of Sound [CD],Steven Halpern,New Age,03/10/17,
Holistic Yoga [CD],Philip Guyler,New Age,11/19/2013,
Wondrous: The Power of Life [CD],Ashi,Electronic/Dance,09/02/16,
Christmas Peace [CD],Elvis Presley,New Age,10/10/04,
Echoes In The Sand [CD],Kevin Lucas Orchestra,New Age,09/16/2014,
Hosiana Mantra [Bonus Track] [Remastered] [CD],Popol Vuh,Electronic/Dance,10/09/12,
Simplicity [CD],Elise West,New Age,05/22/2001,
Yoga to R.E.M. [CD],Yoga Pop Ups,New Age,09/13/2016,
